id_user;id_item;rating;timestamp
1;1;5;963370800
2;1;5;963370800
3;1;5;963370800
4;1;4;963370800
5;1;4;963370800
6;1;5;963630000
7;1;4;964494000
8;1;4;964753200
9;1;3;965271600
10;1;4;965617200
11;1;5;965703600
12;1;3;966999600
13;1;5;967172400
14;1;3;967690800
15;1;3;968036400
16;1;4;977364000
17;1;5;977536800
18;1;5;968122800
19;1;5;980388000
20;1;4;980474400
21;1;1;982810800
22;1;4;983674800
23;1;5;983674800
24;1;4;968295600
25;1;4;1001991600
26;1;5;1002855600
27;1;5;1004925600
28;1;4;968554800
29;1;5;1046487600
30;1;4;1066532400
31;1;5;1075687200
32;1;5;1081393200
33;1;2;1097982000
34;1;5;968986800
35;1;5;1154314800
36;1;5;1181617200
37;1;3;969505200
38;1;4;969591600
39;1;5;1263866400
40;1;4;1275361200
41;1;4;1279422000
42;1;5;969850800
43;1;5;970023600
44;1;4;970196400
45;1;5;963198000
46;1;2;963284400
47;2;4;964062000
48;2;5;1074391200
49;2;4;1074650400
50;2;5;1077850800
51;2;5;1082602800
52;2;3;1084330800
53;2;5;1095390000
54;2;4;1106100000
55;2;4;1107914400
56;2;5;1136253600
57;2;4;1149390000
58;2;4;1159498800
59;2;4;1184382000
60;2;4;1209610800
61;2;5;1210129200
62;2;5;1326679200
63;3;3;975895200
64;3;4;976068000
65;3;3;977018400
66;3;3;977450400
67;3;3;977450400
68;3;2;978314400
69;3;3;991105200
70;3;4;991191600
71;3;3;992487600
72;3;4;992746800
73;3;2;995857200
74;3;2;1001559600
75;4;4;963975600
76;4;2;964321200
77;4;4;964580400
78;4;5;964753200
79;4;3;965185200
80;4;5;965271600
81;4;2;965444400
82;4;5;965617200
83;4;4;965703600
84;4;5;965876400
85;4;2;965876400
86;4;2;965962800
87;4;3;965962800
12;4;4;966049200
88;4;2;966222000
89;4;5;966394800
90;4;5;977709600
44;4;5;978141600
91;4;4;979005600
92;4;2;984366000
93;4;3;988167600
19;4;5;988340400
94;4;5;988599600
95;4;5;1003543200
96;4;5;1015556400
97;4;1;1079665200
98;4;4;1080615600
99;4;4;1110423600
100;4;4;1142996400
40;4;3;1282964400
101;5;5;965703600
102;5;4;967777200
103;5;5;1122087600
104;5;5;1136944800
105;5;5;1179284400
106;5;3;1234576800
24;6;5;964062000
107;6;4;984538800
108;6;5;1011405600
35;6;5;1088478000
109;6;5;1234839600
62;6;5;1306206000
110;7;3;1087441200
111;8;5;964494000
110;8;5;1098500400
112;9;5;979005600
113;9;4;982288800
114;9;5;983502000
115;9;2;1005184800
116;10;4;964494000
117;10;5;965358000
118;10;5;1061262000
39;10;5;1306119600
119;10;4;1311994800
120;11;5;961038000
121;11;5;963802800
24;11;5;964321200
122;11;5;961642800
101;11;5;965617200
101;11;4;965617200
123;11;5;965790000
123;11;5;965790000
123;11;5;965790000
124;11;5;967604400
125;11;5;977277600
17;11;5;977536800
126;11;5;978660000
127;11;5;978832800
127;11;5;978832800
128;11;5;979610400
129;11;4;980647200
130;11;5;981424800
131;11;5;982465200
132;11;4;986180400
133;11;5;991537200
134;11;5;995943600
135;11;1;997498800
136;11;4;1001386800
137;11;5;1001473200
138;11;5;1004407200
139;11;5;1071021600
140;11;5;1101088800
141;11;2;1101261600
142;11;4;1107223200
143;11;4;1114484400
144;11;3;1140490800
145;11;5;1171504800
146;11;5;1198029600
147;11;4;1233885600
148;11;5;1276398000
122;11;5;962852400
149;11;2;972007200
150;12;4;963716400
151;12;4;963802800
152;12;4;964062000
153;12;3;965790000
154;12;3;966222000
155;12;4;966308400
156;12;3;967431600
157;12;3;967690800
158;12;4;983674800
159;12;2;984884400
160;12;2;987908400
161;12;3;991105200
162;12;3;997844400
27;12;3;998190000
163;12;4;998449200
164;12;5;1022209200
165;12;3;1125889200
24;12;3;969159600
