"movieId";"genreName"
"1";"Action & Adventure"
"2";"Action & Adventure"
"3";"Action & Adventure"
"4";"Action & Adventure"
"5";"Action & Adventure"
"6";"Action & Adventure"
"7";"Action & Adventure"
"8";"Action & Adventure"
"9";"Action & Adventure"
"10";"Action & Adventure"
"11";"Action & Adventure"
"12";"Action & Adventure"
"13";"Action & Adventure"
"14";"Action & Adventure"
"15";"Action & Adventure"
"16";"Action & Adventure"
"17";"Action & Adventure"
"18";"Action & Adventure"
"19";"Action & Adventure"
"20";"Action & Adventure"
"21";"Action & Adventure"
"22";"Action & Adventure"
"23";"Action & Adventure"
"24";"Action & Adventure"
"25";"Action & Adventure"
"26";"Action & Adventure"
"27";"Action & Adventure"
"28";"Action & Adventure"
"29";"Action & Adventure"
"30";"Action & Adventure"
"31";"Action & Adventure"
"32";"Action & Adventure"
"33";"Action & Adventure"
"34";"Action & Adventure"
"35";"Action & Adventure"
"36";"Action & Adventure"
"37";"Action & Adventure"
"38";"Action & Adventure"
"39";"Action & Adventure"
"40";"Action & Adventure"
"41";"Action & Adventure"
"42";"Action & Adventure"
"43";"Action & Adventure"
"44";"Action & Adventure"
"45";"Action & Adventure"
"46";"Action & Adventure"
"47";"Action & Adventure"
"48";"Action & Adventure"
"49";"Action & Adventure"
"50";"Action & Adventure"
"51";"Action & Adventure"
"52";"Action & Adventure"
"53";"Action & Adventure"
"54";"Action & Adventure"
"55";"Action & Adventure"
"56";"Action & Adventure"
"57";"Action & Adventure"
"58";"Action & Adventure"
"59";"Action & Adventure"
"60";"Action & Adventure"
"61";"Action & Adventure"
"62";"Action & Adventure"
"63";"Action & Adventure"
"64";"Action & Adventure"
"65";"Action & Adventure"
"66";"Action & Adventure"
"67";"Action & Adventure"
"68";"Action & Adventure"
"69";"Action & Adventure"
"70";"Action & Adventure"
"71";"Action & Adventure"
"72";"Action & Adventure"
"73";"Action & Adventure"
"74";"Action & Adventure"
"75";"Action & Adventure"
"76";"Action & Adventure"
