"id_user";"id_item";"id_transaction";"timestamp";"datetime"
"869008";"40685";"9765.0";"1430623641391";"2015-05-03 00:27:21"
"345781";"438400";"1016.0";"1430624101772";"2015-05-03 00:35:01"
"586756";"440917";"10942.0";"1430625707591";"2015-05-03 01:01:47"
"435495";"175893";"6173.0";"1430626058961";"2015-05-03 01:07:38"
"266417";"301359";"12546.0";"1430627474950";"2015-05-03 01:31:14"
"266417";"445106";"12546.0";"1430627474950";"2015-05-03 01:31:14"
"1282205";"444888";"10488.0";"1430627504947";"2015-05-03 01:31:44"
"379008";"441645";"4974.0";"1430628966224";"2015-05-03 01:56:06"
"379008";"441645";"5846.0";"1430629282903";"2015-05-03 02:01:22"
"611754";"210087";"3062.0";"1430629469395";"2015-05-03 02:04:29"
"619893";"180097";"7660.0";"1430629529429";"2015-05-03 02:05:29"
"1206788";"70790";"16809.0";"1430631693312";"2015-05-03 02:41:33"
"732139";"61273";"3099.0";"1430632522402";"2015-05-03 02:55:22"
"946749";"217605";"7613.0";"1430634515556";"2015-05-03 03:28:35"
"614999";"343618";"16434.0";"1430634888314";"2015-05-03 03:34:48"
"450190";"354288";"14963.0";"1430636531863";"2015-05-03 04:02:11"
"1045152";"131385";"3188.0";"1430636568797";"2015-05-03 04:02:48"
"1045152";"219849";"3188.0";"1430636568797";"2015-05-03 04:02:48"
"1045152";"220174";"3188.0";"1430636568797";"2015-05-03 04:02:48"
"996991";"40168";"1849.0";"1430641921974";"2015-05-03 05:32:01"
"426297";"274710";"9967.0";"1430663811237";"2015-05-03 11:36:51"
"1208747";"396445";"13343.0";"1430665129345";"2015-05-03 11:58:49"
"560305";"436056";"3033.0";"1430665548420";"2015-05-03 12:05:48"
"432060";"399531";"10826.0";"1430666801217";"2015-05-03 12:26:41"
"729806";"317436";"2410.0";"1430666959685";"2015-05-03 12:29:19"
"53842";"12404";"3548.0";"1430666987316";"2015-05-03 12:29:47"
"935325";"226005";"13379.0";"1430667313372";"2015-05-03 12:35:13"
